Piezómetro,Fecha,Cota Terreno,Lectura mes ant,Lectura mes act,Cota del nivel de agua (msnm)
12,15/05/2012,3.20,0.37,0.88,2.32
13,15/05/2012,3.13,0.71,0.99,2.14
14,15/05/2012,2.18,0.32,0.47,1.71
15,15/05/2012,2.39,0.50,0.55,1.84
16,15/05/2012,2.83,0.52,1.23,1.60
17,15/05/2012,2.93,0.14,0.82,2.11
18,15/05/2012,3.19,0.18,0.77,2.42
19,15/05/2012,4.20,1.16,2.10,2.10
20,15/05/2012,3.14,0.30,1.20,1.94
21,15/05/2012,3.00,0.27,1.28,1.72
22,15/05/2012,3.02,0.97,1.15,1.87
23,15/05/2012,2.82,0.58,1.42,1.40
24,15/05/2012,3.83,0.45,1.68,2.15
25,15/05/2012,3.92,,1.52,2.40
26,15/05/2012,4.06,0.72,,4.06
27,15/05/2012,4.66,0.82,1.63,3.03
28,15/05/2012,4.58,0.23,1.51,3.07
29,15/05/2012,4.13,0.23,1.37,2.76
30,15/05/2012,3.45,0.45,1.39,2.06
31,15/05/2012,2.75,0.58,1.35,1.40
32,15/05/2012,2.49,0.55,0.97,1.52
33,15/05/2012,2.77,0.22,0.78,1.99
34,15/05/2012,2.62,0.20,0.69,1.93
1,15/06/2012,2.67,0.99,0.59,2.08
2,15/06/2012,1.90,0.72,0.71,1.19
3,15/06/2012,1.82,0.75,0.93,0.89
4,15/06/2012,3.34,2.49,,3.34
5,15/06/2012,3.11,0.57,0.84,2.27
6,15/06/2012,3.09,1.05,1.20,1.89
7,15/06/2012,2.14,0.97,0.90,1.24
8,15/06/2012,2.20,0.42,0.48,1.72
9,15/06/2012,3.84,1.88,2.34,1.50
10,15/06/2012,3.86,0.92,1.40,2.46
11,15/06/2012,3.27,0.95,1.08,2.19
12,15/06/2012,3.20,0.88,1.15,2.05
13,15/06/2012,3.13,0.99,1.20,1.93
14,15/06/2012,2.18,0.47,0.51,1.67
15,15/06/2012,2.39,0.55,0.63,1.76
16,15/06/2012,2.83,1.23,1.30,1.53
17,15/06/2012,2.93,0.82,1.00,1.93
18,15/06/2012,3.19,0.77,0.90,2.29
19,15/06/2012,4.20,2.10,2.62,1.58
20,15/06/2012,3.14,1.20,1.40,1.74
21,15/06/2012,3.00,1.28,1.35,1.65
22,15/06/2012,3.02,1.15,1.31,1.71
23,15/06/2012,2.82,1.42,1.60,1.22
24,15/06/2012,3.83,1.68,1.81,2.02
25,15/06/2012,3.92,1.52,1.75,2.17
26,15/06/2012,4.06,,,4.06
27,15/06/2012,4.66,1.63,1.99,2.67
28,15/06/2012,4.58,1.51,1.77,2.81
29,15/06/2012,4.13,1.37,1.28,2.85
30,15/06/2012,3.45,1.39,1.25,2.20
31,15/06/2012,2.75,1.35,1.14,1.61
32,15/06/2012,2.49,0.97,1.11,1.38
33,15/06/2012,2.77,0.78,1.07,1.70
34,15/06/2012,2.62,0.69,0.61,2.01
1,15/07/2012,2.67,0.59,1.01,1.66
2,15/07/2012,1.90,0.71,0.43,1.47
3,15/07/2012,1.82,0.93,0.66,1.16
4,15/07/2012,3.34,,1.49,1.85
5,15/07/2012,3.11,0.84,0.74,2.37
6,15/07/2012,3.09,1.20,1.30,1.79
7,15/07/2012,2.14,0.90,0.74,1.40
8,15/07/2012,2.20,0.48,0.69,1.51
9,15/07/2012,3.84,2.34,1.47,2.37
10,15/07/2012,3.86,1.40,0.82,3.04
11,15/07/2012,3.27,1.08,0.71,2.56
12,15/07/2012,3.20,1.15,0.91,2.29
13,15/07/2012,3.13,1.20,0.97,2.16
14,15/07/2012,2.18,0.51,0.59,1.59
15,15/07/2012,2.39,0.63,0.64,1.75
16,15/07/2012,2.83,1.30,1.04,1.79
17,15/07/2012,2.93,1.00,0.83,2.10
18,15/07/2012,3.19,0.90,0.74,2.45
19,15/07/2012,4.20,2.62,1.64,2.56
20,15/07/2012,3.14,1.40,0.73,2.41
21,15/07/2012,3.00,1.35,1.09,1.91
22,15/07/2012,3.02,1.31,1.40,1.62
23,15/07/2012,2.82,1.60,1.36,1.46
24,15/07/2012,3.83,1.81,,3.83
25,15/07/2012,3.92,1.75,1.43,2.49
26,15/07/2012,4.06,,0.97,3.09
27,15/07/2012,4.66,1.99,0.58,4.08
28,15/07/2012,4.58,1.77,1.12,3.46
29,15/07/2012,4.13,1.28,1.62,2.51
30,15/07/2012,3.45,1.25,1.13,2.32
31,15/07/2012,2.75,1.14,1.14,1.61
32,15/07/2012,2.49,1.11,1.09,1.40
33,15/07/2012,2.77,1.07,0.52,2.25
34,15/07/2012,2.62,0.61,0.98,1.64
1,15/08/2012,2.67,1.01,1.03,1.64
2,15/08/2012,1.90,0.43,0.26,1.64
3,15/08/2012,1.82,0.66,0.64,1.18
4,15/08/2012,3.34,1.49,1.46,1.88
5,15/08/2012,3.11,0.74,0.80,2.31
6,15/08/2012,3.09,1.30,1.13,1.96
7,15/08/2012,2.14,0.74,0.92,1.22
8,15/08/2012,2.20,0.69,0.57,1.63
9,15/08/2012,3.84,1.47,1.62,2.22
10,15/08/2012,3.86,0.82,1.19,2.67
11,15/08/2012,3.27,0.71,0.86,2.41
12,15/08/2012,3.20,0.91,0.92,2.28
13,15/08/2012,3.13,0.97,1.01,2.12
14,15/08/2012,2.18,0.59,0.66,1.52
15,15/08/2012,2.39,0.64,0.77,1.62
16,15/08/2012,2.83,1.04,0.81,2.02
17,15/08/2012,2.93,0.83,1.09,1.84
18,15/08/2012,3.19,0.74,0.84,2.35
19,15/08/2012,4.20,1.64,1.33,2.87
20,15/08/2012,3.14,0.73,1.09,2.05
21,15/08/2012,3.00,1.09,0.74,2.26
22,15/08/2012,3.02,1.40,1.16,1.86
23,15/08/2012,2.82,1.36,1.19,1.63
24,15/08/2012,3.83,,,3.83
25,15/08/2012,3.92,1.43,1.18,2.74
26,15/08/2012,4.06,0.97,,4.06
27,15/08/2012,4.66,0.58,1.08,3.58
28,15/08/2012,4.58,1.12,0.49,4.09
29,15/08/2012,4.13,1.62,1.04,3.09
30,15/08/2012,3.45,1.13,1.16,2.29
31,15/08/2012,2.75,1.14,1.12,1.63
32,15/08/2012,2.49,1.09,0.81,1.68
33,15/08/2012,2.77,0.52,1.10,1.67
34,15/08/2012,2.62,0.98,1.07,1.55
1,01/09/2012,2.67,1.03,1.00,1.67
2,01/09/2012,1.90,0.26,0.46,1.44
3,01/09/2012,1.82,0.64,0.55,1.27
4,01/09/2012,3.34,1.46,1.27,2.07
5,01/09/2012,3.11,0.80,0.54,2.57
6,01/09/2012,3.09,1.13,1.23,1.86
7,01/09/2012,2.14,0.92,0.73,1.41
8,01/09/2012,2.20,0.57,0.40,1.80
9,01/09/2012,3.84,1.62,1.35,2.49
10,01/09/2012,3.86,1.19,0.59,3.27
11,01/09/2012,3.27,0.86,0.79,2.48
12,01/09/2012,3.20,0.92,0.74,2.46
13,01/09/2012,3.13,1.01,0.75,2.38
14,01/09/2012,2.18,0.66,0.40,1.78
15,01/09/2012,2.39,0.77,0.54,1.85
16,01/09/2012,2.83,0.81,0.74,2.09
17,01/09/2012,2.93,1.09,0.63,2.30
18,01/09/2012,3.19,0.84,0.41,2.78
19,01/09/2012,4.20,1.33,1.04,3.16
20,01/09/2012,3.14,1.09,0.58,2.56
21,01/09/2012,3.00,0.74,0.52,2.48
22,01/09/2012,3.02,1.16,1.08,1.94
23,01/09/2012,2.82,1.19,1.12,1.70
24,01/09/2012,3.83,,,3.83
25,01/09/2012,3.92,1.18,0.99,2.93
26,01/09/2012,4.06,,0.80,3.26
27,01/09/2012,4.66,1.08,0.61,4.05
28,01/09/2012,4.58,0.49,0.67,3.91
29,01/09/2012,4.13,1.04,0.78,3.35
30,01/09/2012,3.45,1.16,0.49,2.96
31,01/09/2012,2.75,1.12,0.70,2.05
32,01/09/2012,2.49,0.81,0.81,1.68
33,01/09/2012,2.77,1.10,0.48,2.29
34,01/09/2012,2.62,1.07,0.24,2.38
1,15/10/2012,2.67,1.00,0.91,1.76
2,15/10/2012,1.90,0.46,0.37,1.53
3,15/10/2012,1.82,0.55,0.70,1.12
4,15/10/2012,3.34,1.27,1.36,1.98
5,15/10/2012,3.11,0.54,0.59,2.52
6,15/10/2012,3.09,1.23,1.07,2.02
7,15/10/2012,2.14,0.73,0.93,1.21
8,15/10/2012,2.20,0.40,0.54,1.66
9,15/10/2012,3.84,1.35,1.68,2.16
10,15/10/2012,3.86,0.59,1.03,2.83
11,15/10/2012,3.27,0.79,0.97,2.30
12,15/10/2012,3.20,0.74,0.83,2.37
13,15/10/2012,3.13,0.75,0.79,2.34
14,15/10/2012,2.18,0.40,0.64,1.54
15,15/10/2012,2.39,0.54,0.55,1.84
16,15/10/2012,2.83,0.74,0.81,2.02
17,15/10/2012,2.93,0.63,0.78,2.15
18,15/10/2012,3.19,0.41,0.71,2.48
19,15/10/2012,4.20,1.04,1.41,2.79
20,15/10/2012,3.14,0.58,1.01,2.13
21,15/10/2012,3.00,0.52,0.82,2.18
22,15/10/2012,3.02,1.08,0.99,2.03
23,15/10/2012,2.82,1.12,0.63,2.19
24,15/10/2012,3.83,,1.35,2.48
25,15/10/2012,3.92,0.99,1.37,2.55
26,15/10/2012,4.06,0.80,,4.06
27,15/10/2012,4.66,0.61,0.66,4.00
28,15/10/2012,4.58,0.67,0.74,3.84
29,15/10/2012,4.13,0.78,1.24,2.89
30,15/10/2012,3.45,0.49,0.74,2.71
31,15/10/2012,2.75,0.70,0.61,2.14
32,15/10/2012,2.49,0.81,0.50,1.99
33,15/10/2012,2.77,0.48,1.20,1.57
34,15/10/2012,2.62,0.24,0.88,1.74
1,01/11/2012,2.67,0.91,0.81,1.86
2,01/11/2012,1.90,0.37,0.18,1.72
3,01/11/2012,1.82,0.70,0.47,1.35
4,01/11/2012,3.34,1.36,1.27,2.07
5,01/11/2012,3.11,0.59,0.51,2.60
6,01/11/2012,3.09,1.07,1.24,1.85
7,01/11/2012,2.14,0.93,0.48,1.66
8,01/11/2012,2.20,0.54,0.51,1.69
9,01/11/2012,3.84,1.68,1.31,2.53
10,01/11/2012,3.86,1.03,0.81,3.05
11,01/11/2012,3.27,0.97,0.87,2.40
12,01/11/2012,3.20,0.83,0.91,2.29
13,01/11/2012,3.13,0.79,0.92,2.21
14,01/11/2012,2.18,0.64,0.44,1.74
15,01/11/2012,2.39,0.55,0.10,2.29
16,01/11/2012,2.83,0.81,0.56,2.27
17,01/11/2012,2.93,0.78,0.65,2.28
18,01/11/2012,3.19,0.71,0.51,2.68
19,01/11/2012,4.20,1.41,1.28,2.92
20,01/11/2012,3.14,1.01,0.59,2.55
21,01/11/2012,3.00,0.82,0.33,2.67
22,01/11/2012,3.02,0.99,1.20,1.82
23,01/11/2012,2.82,0.63,1.23,1.59
24,01/11/2012,3.83,1.35,,3.83
25,01/11/2012,3.92,1.37,1.02,2.90
26,01/11/2012,4.06,,0.97,3.09
27,01/11/2012,4.66,0.66,0.94,3.72
28,01/11/2012,4.58,0.74,0.50,4.08
29,01/11/2012,4.13,1.24,0.83,3.30
30,01/11/2012,3.45,0.74,0.86,2.59
31,01/11/2012,2.75,0.61,0.88,1.87
32,01/11/2012,2.49,0.50,0.84,1.65
33,01/11/2012,2.77,1.20,0.42,2.35
34,01/11/2012,2.62,0.88,0.61,2.01
1,15/12/2012,2.67,0.81,0.85,1.82
2,15/12/2012,1.90,0.18,0.64,1.26
3,15/12/2012,1.82,0.47,0.55,1.27
4,15/12/2012,3.34,1.27,1.42,1.92
5,15/12/2012,3.11,0.51,0.54,2.57
6,15/12/2012,3.09,1.24,0.94,2.15
7,15/12/2012,2.14,0.48,0.58,1.56
8,15/12/2012,2.20,0.51,0.45,1.75
9,15/12/2012,3.84,1.31,1.60,2.24
10,15/12/2012,3.86,0.81,1.24,2.62
11,15/12/2012,3.27,0.87,0.83,2.44
12,15/12/2012,3.20,0.91,0.69,2.51
13,15/12/2012,3.13,0.92,0.85,2.28
14,15/12/2012,2.18,0.44,0.62,1.56
15,15/12/2012,2.39,0.10,0.63,1.76
16,15/12/2012,2.83,0.56,0.84,1.99
17,15/12/2012,2.93,0.65,0.69,2.24
18,15/12/2012,3.19,0.51,0.58,2.61
19,15/12/2012,4.20,1.28,1.49,2.71
20,15/12/2012,3.14,0.59,0.94,2.20
21,15/12/2012,3.00,0.33,0.63,2.37
22,15/12/2012,3.02,1.20,1.00,2.02
23,15/12/2012,2.82,1.23,1.02,1.80
24,15/12/2012,3.83,,1.05,2.78
25,15/12/2012,3.92,1.02,1.22,2.70
26,15/12/2012,4.06,0.97,,4.06
27,15/12/2012,4.66,0.94,1.15,3.51
28,15/12/2012,4.58,0.50,0.85,3.73
29,15/12/2012,4.13,0.83,0.88,3.25
30,15/12/2012,3.45,0.86,0.20,3.25
31,15/12/2012,2.75,0.88,1.08,1.67
32,15/12/2012,2.49,0.84,0.87,1.62
33,15/12/2012,2.77,0.42,1.23,1.54
34,15/12/2012,2.62,0.61,0.95,1.67
1,15/01/2011,2.67,1.16,1.03,1.64
2,15/01/2011,1.90,0.34,0.78,1.12
3,15/01/2011,1.82,0.45,0.36,1.46
4,15/01/2011,3.34,1.70,1.61,1.73
5,15/01/2011,3.11,1.13,0.13,2.98
6,15/01/2011,3.09,1.05,1.02,2.07
7,15/01/2011,2.14,0.80,0.88,1.26
8,15/01/2011,2.20,0.55,0.80,1.40
9,15/01/2011,3.84,1.28,1.49,2.35
10,15/01/2011,3.86,0.94,0.87,2.99
11,15/01/2011,3.27,1.05,1.03,2.24
12,15/01/2011,3.20,0.74,1.08,2.12
13,15/01/2011,3.13,0.83,1.06,2.07
14,15/01/2011,2.18,0.59,0.31,1.87
15,15/01/2011,2.39,0.40,0.54,1.85
16,15/01/2011,2.83,0.75,1.08,1.75
17,15/01/2011,2.93,0.98,0.95,1.98
18,15/01/2011,3.19,0.58,0.67,2.52
19,15/01/2011,4.20,1.30,1.78,2.42
20,15/01/2011,3.14,0.75,0.87,2.27
21,15/01/2011,3.00,0.66,0.98,2.02
22,15/01/2011,3.02,1.11,1.29,1.73
23,15/01/2011,2.82,0.59,1.23,1.59
24,15/01/2011,3.83,,,3.83
25,15/01/2011,3.92,1.22,0.56,3.36
26,15/01/2011,4.06,1.78,1.12,2.94
27,15/01/2011,4.66,1.15,1.10,3.56
28,15/01/2011,4.58,0.95,0.45,4.13
29,15/01/2011,4.13,0.94,1.08,3.05
30,15/01/2011,3.45,1.02,1.13,2.32
31,15/01/2011,2.75,1.05,1.09,1.66
32,15/01/2011,2.49,0.75,0.83,1.66
33,15/01/2011,2.77,1.12,0.95,1.82
34,15/01/2011,2.62,0.70,0.79,1.83
1,01/02/2011,2.67,1.03,1.02,1.65
2,01/02/2011,1.90,0.78,0.56,1.34
3,01/02/2011,1.82,0.36,0.65,1.17
4,01/02/2011,3.34,1.61,,3.34
5,01/02/2011,3.11,0.13,0.16,2.95
6,01/02/2011,3.09,1.02,1.11,1.98
7,01/02/2011,2.14,0.88,0.50,1.64
8,01/02/2011,2.20,0.80,0.62,1.58
9,01/02/2011,3.84,1.49,,3.84
10,01/02/2011,3.86,0.87,0.80,3.06
11,01/02/2011,3.27,1.03,0.70,2.57
12,01/02/2011,3.20,1.08,0.95,2.25
13,01/02/2011,3.13,1.06,0.80,2.33
14,01/02/2011,2.18,0.31,0.32,1.86
15,01/02/2011,2.39,0.54,0.69,1.70
16,01/02/2011,2.83,1.08,0.90,1.93
17,01/02/2011,2.93,0.95,0.43,2.50
18,01/02/2011,3.19,0.67,0.25,2.94
19,01/02/2011,4.20,1.78,1.26,2.94
20,01/02/2011,3.14,0.87,0.33,2.81
21,01/02/2011,3.00,0.98,0.28,2.72
22,01/02/2011,3.02,1.29,0.60,2.42
23,01/02/2011,2.82,1.23,0.93,1.89
24,01/02/2011,3.83,,,3.83
25,01/02/2011,3.92,0.56,0.95,2.97
26,01/02/2011,4.06,1.12,1.27,2.79
27,01/02/2011,4.66,1.10,0.40,4.26
28,01/02/2011,4.58,0.45,0.30,4.28
29,01/02/2011,4.13,1.08,0.17,3.96
30,01/02/2011,3.45,1.13,0.32,3.13
31,01/02/2011,2.75,1.09,0.39,2.36
32,01/02/2011,2.49,0.83,0.58,1.91
33,01/02/2011,2.77,0.95,0.38,2.39
34,01/02/2011,2.62,0.79,0.32,2.30
1,01/03/2011,2.67,1.02,0.94,1.73
2,01/03/2011,1.90,0.56,0.47,1.43
3,01/03/2011,1.82,0.65,0.31,1.51
4,01/03/2011,3.34,,1.61,1.73
5,01/03/2011,3.11,0.16,0.15,2.96
6,01/03/2011,3.09,1.11,1.04,2.05
7,01/03/2011,2.14,0.50,0.66,1.48
8,01/03/2011,2.20,0.62,0.18,2.02
9,01/03/2011,3.84,,0.77,3.07
10,01/03/2011,3.86,0.80,0.31,3.55
11,01/03/2011,3.27,0.70,0.74,2.53
12,01/03/2011,3.20,0.95,0.52,2.68
13,01/03/2011,3.13,0.80,0.21,2.92
14,01/03/2011,2.18,0.32,0.21,1.97
15,01/03/2011,2.39,0.69,0.05,2.34
16,01/03/2011,2.83,0.90,0.68,2.15
17,01/03/2011,2.93,0.43,0.21,2.72
18,01/03/2011,3.19,0.25,0.54,2.65
19,01/03/2011,4.20,1.26,0.81,3.39
20,01/03/2011,3.14,0.33,0.25,2.89
21,01/03/2011,3.00,0.28,0.61,2.39
22,01/03/2011,3.02,0.60,0.85,2.17
23,01/03/2011,2.82,0.93,0.27,2.55
24,01/03/2011,3.83,,,3.83
25,01/03/2011,3.92,0.95,0.32,3.60
26,01/03/2011,4.06,1.27,0.45,3.61
27,01/03/2011,4.66,0.40,0.15,4.51
28,01/03/2011,4.58,0.30,0.51,4.07
29,01/03/2011,4.13,0.17,0.15,3.98
30,01/03/2011,3.45,0.32,0.42,3.03
31,01/03/2011,2.75,0.39,0.68,2.07
32,01/03/2011,2.49,0.58,0.15,2.34
33,01/03/2011,2.77,0.38,0.62,2.15
34,01/03/2011,2.62,0.32,0.25,2.37
1,01/04/2011,2.67,0.94,0.79,1.88
2,01/04/2011,1.90,0.47,0.42,1.48
3,01/04/2011,1.82,0.31,0.69,1.13
4,01/04/2011,3.34,1.61,0.00,3.34
5,01/04/2011,3.11,0.15,0.00,3.11
6,01/04/2011,3.09,1.04,0.96,2.13
7,01/04/2011,2.14,0.66,0.80,1.34
8,01/04/2011,2.20,0.18,0.63,1.57
9,01/04/2011,3.84,0.77,0.98,2.86
10,01/04/2011,3.86,0.31,0.63,3.23
11,01/04/2011,3.27,0.74,0.55,2.72
12,01/04/2011,3.20,0.52,0.71,2.49
13,01/04/2011,3.13,0.21,0.73,2.40
14,01/04/2011,2.18,0.21,0.14,2.04
15,01/04/2011,2.39,0.05,0.16,2.23
16,01/04/2011,2.83,0.68,0.59,2.24
17,01/04/2011,2.93,0.21,0.34,2.59
18,01/04/2011,3.19,0.54,0.12,3.07
19,01/04/2011,4.20,0.81,0.67,3.53
20,01/04/2011,3.14,0.25,0.55,2.59
21,01/04/2011,3.00,0.61,0.32,2.68
22,01/04/2011,3.02,0.85,0.45,2.57
23,01/04/2011,2.82,0.27,0.33,2.49
24,01/04/2011,3.83,,1.05,2.78
25,01/04/2011,3.92,0.32,0.28,3.64
26,01/04/2011,4.06,0.45,,4.06
27,01/04/2011,4.66,0.15,0.49,4.17
28,01/04/2011,4.58,0.51,0.35,4.23
29,01/04/2011,4.13,0.15,0.18,3.95
30,01/04/2011,3.45,0.42,0.22,3.23
31,01/04/2011,2.75,0.68,0.64,2.11
32,01/04/2011,2.49,0.15,0.38,2.11
33,01/04/2011,2.77,0.62,0.49,2.28
34,01/04/2011,2.62,0.25,0.41,2.21
1,01/05/2011,2.67,0.79,1.35,1.32
2,01/05/2011,1.90,0.42,0.42,1.48
3,01/05/2011,1.82,0.69,0.70,1.12
4,01/05/2011,3.34,,,3.34
5,01/05/2011,3.11,0.00,0.65,2.46
6,01/05/2011,3.09,0.96,0.92,2.17
7,01/05/2011,2.14,0.80,0.80,1.34
8,01/05/2011,2.20,0.63,0.80,1.40
9,01/05/2011,3.84,0.98,1.20,2.64
10,01/05/2011,3.86,0.63,0.81,3.05
11,01/05/2011,3.27,0.55,0.95,2.32
12,01/05/2011,3.20,0.71,0.87,2.33
13,01/05/2011,3.13,0.73,0.85,2.28
14,01/05/2011,2.18,0.14,0.67,1.51
15,01/05/2011,2.39,0.16,0.35,2.04
16,01/05/2011,2.83,0.59,0.72,2.11
17,01/05/2011,2.93,0.34,0.49,2.44
18,01/05/2011,3.19,0.12,0.38,2.81
19,01/05/2011,4.20,0.67,1.06,3.14
20,01/05/2011,3.14,0.55,0.75,2.39
21,01/05/2011,3.00,0.32,0.60,2.40
22,01/05/2011,3.02,0.45,0.51,2.51
23,01/05/2011,2.82,0.33,0.43,2.39
24,01/05/2011,3.83,1.05,0.96,2.87
25,01/05/2011,3.92,0.28,0.39,3.53
26,01/05/2011,4.06,,,4.06
27,01/05/2011,4.66,0.49,0.70,3.96
28,01/05/2011,4.58,0.35,0.50,4.08
29,01/05/2011,4.13,0.18,0.64,3.49
30,01/05/2011,3.45,0.22,1.20,2.25
31,01/05/2011,2.75,0.64,0.68,2.07
32,01/05/2011,2.49,0.38,0.88,1.61
33,01/05/2011,2.77,0.49,0.53,2.24
34,01/05/2011,2.62,0.41,0.55,2.07
1,01/06/2011,2.67,1.35,0.90,1.77
2,01/06/2011,1.90,0.42,0.10,1.80
3,01/06/2011,1.82,0.70,0.25,1.57
4,01/06/2011,3.34,,1.56,1.78
5,01/06/2011,3.11,0.65,0.88,2.23
6,01/06/2011,3.09,0.92,1.15,1.94
7,01/06/2011,2.14,0.80,0.58,1.56
8,01/06/2011,2.20,0.80,0.10,2.10
9,01/06/2011,3.84,1.20,1.35,2.49
10,01/06/2011,3.86,0.81,0.80,3.06
11,01/06/2011,3.27,0.95,1.08,2.19
12,01/06/2011,3.20,0.87,0.95,2.25
13,01/06/2011,3.13,0.85,1.02,2.11
14,01/06/2011,2.18,0.67,0.59,1.59
15,01/06/2011,2.39,0.35,0.60,1.79
16,01/06/2011,2.83,0.72,1.22,1.61
17,01/06/2011,2.93,0.49,1.20,1.73
18,01/06/2011,3.19,0.38,1.98,1.21
19,01/06/2011,4.20,1.06,1.84,2.36
20,01/06/2011,3.14,0.75,0.94,2.20
21,01/06/2011,3.00,0.60,0.91,2.09
22,01/06/2011,3.02,0.51,1.32,1.70
23,01/06/2011,2.82,0.43,1.43,1.39
24,01/06/2011,3.83,0.96,,3.83
25,01/06/2011,3.92,0.39,1.27,2.65
26,01/06/2011,4.06,,1.10,2.96
27,01/06/2011,4.66,0.70,1.37,3.29
28,01/06/2011,4.58,0.50,1.36,3.22
29,01/06/2011,4.13,0.64,1.08,3.05
30,01/06/2011,3.45,1.20,1.06,2.39
31,01/06/2011,2.75,0.68,1.02,1.73
32,01/06/2011,2.49,0.88,0.96,1.53
33,01/06/2011,2.77,0.53,0.85,1.92
34,01/06/2011,2.62,0.55,0.30,2.32
1,01/07/2011,2.67,0.90,1.22,1.45
2,01/07/2011,1.90,0.10,0.61,1.29
3,01/07/2011,1.82,0.25,0.68,1.14
4,01/07/2011,3.34,1.56,1.81,1.53
5,01/07/2011,3.11,0.88,1.01,2.10
6,01/07/2011,3.09,1.15,1.32,1.77
7,01/07/2011,2.14,0.58,0.89,1.25
8,01/07/2011,2.20,0.10,0.71,1.49
9,01/07/2011,3.84,1.35,1.78,2.06
10,01/07/2011,3.86,0.80,0.91,2.95
11,01/07/2011,3.27,1.08,0.98,2.29
12,01/07/2011,3.20,0.95,1.27,1.93
13,01/07/2011,3.13,1.02,1.15,1.98
14,01/07/2011,2.18,0.59,0.92,1.26
15,01/07/2011,2.39,0.60,0.77,1.62
16,01/07/2011,2.83,1.22,1.10,1.73
17,01/07/2011,2.93,1.20,0.91,2.02
18,01/07/2011,3.19,1.98,0.71,2.48
19,01/07/2011,4.20,1.84,1.95,2.25
20,01/07/2011,3.14,0.94,1.49,1.65
21,01/07/2011,3.00,0.91,1.35,1.65
22,01/07/2011,3.02,1.32,1.26,1.76
23,01/07/2011,2.82,1.43,1.43,1.39
24,01/07/2011,3.83,,1.24,2.59
25,01/07/2011,3.92,1.27,1.45,2.47
26,01/07/2011,4.06,1.10,,4.06
27,01/07/2011,4.66,1.37,1.43,3.23
28,01/07/2011,4.58,1.36,0.76,3.82
29,01/07/2011,4.13,1.08,0.85,3.28
30,01/07/2011,3.45,1.06,1.08,2.37
31,01/07/2011,2.75,1.02,0.89,1.86
32,01/07/2011,2.49,0.96,0.62,1.87
33,01/07/2011,2.77,0.85,0.89,1.88
34,01/07/2011,2.62,0.30,0.71,1.91
1,01/08/2011,2.67,1.22,0.87,1.80
2,01/08/2011,1.90,0.61,0.05,1.85
3,01/08/2011,1.82,0.68,0.03,1.79
4,01/08/2011,3.34,1.81,1.56,1.78
5,01/08/2011,3.11,1.01,0.94,2.17
6,01/08/2011,3.09,1.32,1.17,1.92
7,01/08/2011,2.14,0.89,0.48,1.66
8,01/08/2011,2.20,0.71,0.51,1.69
9,01/08/2011,3.84,1.78,1.49,2.35
10,01/08/2011,3.86,0.91,0.92,2.94
11,01/08/2011,3.27,0.98,0.90,2.37
12,01/08/2011,3.20,1.27,0.89,2.31
13,01/08/2011,3.13,1.15,0.92,2.21
14,01/08/2011,2.18,0.92,0.15,2.03
15,01/08/2011,2.39,0.77,0.25,2.14
16,01/08/2011,2.83,1.10,0.79,2.04
17,01/08/2011,2.93,0.91,0.85,2.08
18,01/08/2011,3.19,0.71,0.85,2.34
19,01/08/2011,4.20,1.95,1.35,2.85
20,01/08/2011,3.14,1.49,0.78,2.36
21,01/08/2011,3.00,1.35,0.82,2.18
22,01/08/2011,3.02,1.26,1.35,1.67
23,01/08/2011,2.82,1.43,1.38,1.44
24,01/08/2011,3.83,1.24,,3.83
25,01/08/2011,3.92,1.45,1.45,2.47
26,01/08/2011,4.06,,1.15,2.91
27,01/08/2011,4.66,1.43,0.97,3.69
28,01/08/2011,4.58,0.76,0.70,3.88
29,01/08/2011,4.13,0.85,1.02,3.11
30,01/08/2011,3.45,1.08,0.90,2.55
31,01/08/2011,2.75,0.89,0.50,2.25
32,01/08/2011,2.49,0.62,0.85,1.64
33,01/08/2011,2.77,0.89,0.42,2.35
34,01/08/2011,2.62,0.71,0.57,2.05
1,01/09/2011,2.67,0.87,1.38,1.29
2,01/09/2011,1.90,0.05,0.71,1.19
3,01/09/2011,1.82,0.03,0.67,1.15
4,01/09/2011,3.34,1.56,1.71,1.63
5,01/09/2011,3.11,0.94,0.74,2.37
6,01/09/2011,3.09,1.17,1.39,1.70
7,01/09/2011,2.14,0.48,1.04,1.10
8,01/09/2011,2.20,0.51,0.78,1.42
9,01/09/2011,3.84,1.49,1.58,2.26
10,01/09/2011,3.86,0.92,0.90,2.96
11,01/09/2011,3.27,0.90,1.01,2.26
12,01/09/2011,3.20,0.89,1.12,2.08
13,01/09/2011,3.13,0.92,1.03,2.10
14,01/09/2011,2.18,0.15,0.89,1.29
15,01/09/2011,2.39,0.25,0.63,1.76
16,01/09/2011,2.83,0.79,1.04,1.79
17,01/09/2011,2.93,0.85,0.84,2.09
18,01/09/2011,3.19,0.85,1.08,2.11
19,01/09/2011,4.20,1.35,1.41,2.79
20,01/09/2011,3.14,0.78,1.36,1.78
21,01/09/2011,3.00,0.82,1.26,1.74
22,01/09/2011,3.02,1.35,1.05,1.97
23,01/09/2011,2.82,1.38,0.64,2.18
24,01/09/2011,3.83,,0.69,3.14
25,01/09/2011,3.92,1.45,0.73,3.19
26,01/09/2011,4.06,1.15,,4.06
27,01/09/2011,4.66,0.97,,4.66
28,01/09/2011,4.58,0.70,0.84,3.74
29,01/09/2011,4.13,1.02,0.51,3.62
30,01/09/2011,3.45,0.90,1.16,2.29
