Aforo,Este,Norte,Fecha,Qtotal (m3/s)
Centro de visitantes,193407,8104162,12/01/2015,0.502
Motobomba,192546,8104722,12/01/2015,0.501
Camanejos,197321,8100714,12/01/2015,0.131
Dren ciego,194330,8103436,12/01/2015,0.068
Rossy,195723,8102026,12/01/2015,0.064
Puntilla,196473,8103514,11/01/2014,0.287
Campesino,194248,8103536,11/01/2014,0
Centro de visitantes,193407,8104162,11/01/2014,0.651
Motobomba,192546,8104722,11/01/2014,0.01
Camanejos,197321,8100714,11/01/2014,0.146
Dren ciego,194330,8103436,11/01/2014,0.093
Rossy,195723,8102026,11/01/2014,0.211
Puntilla,196473,8103514,13/02/2014,0.329
Campesino,194248,8103536,13/02/2014,0
Centro de visitantes,193407,8104162,13/02/2014,0.726
Motobomba,192546,8104722,13/02/2014,0.693
Camanejos,197321,8100714,13/02/2014,0.226
Dren ciego,194330,8103436,13/02/2014,0
Rossy,195723,8102026,13/02/2014,0.273
Puntilla,196473,8103514,13/02/2014,0.161
Campesino,194248,8103536,13/03/2014,0
Centro de visitantes,193407,8104162,13/03/2014,0.738
Motobomba,192546,8104722,13/03/2014,0.787
Camanejos,197321,8100714,13/03/2014,0
Dren ciego,194330,8103436,13/03/2014,0
Rossy,195723,8102026,13/03/2014,0.192
Puntilla,196473,8103514,11/04/2014,0.312
Campesino,194248,8103536,11/04/2014,0
Centro de visitantes,193407,8104162,11/04/2014,1.431
Motobomba,192546,8104722,11/04/2014,1.77
Camanejos,197321,8100714,11/04/2014,0.204
Dren ciego,194330,8103436,11/04/2014,0
Rossy,195723,8102026,11/04/2014,0.177
Puntilla,196473,8103514,16/06/2014,0
Campesino,194248,8103536,16/06/2014,0
Centro de visitantes,193407,8104162,16/06/2014,0.69
Motobomba,192546,8104722,16/06/2014,0.487
Camanejos,197321,8100714,16/06/2014,0.011
Dren ciego,194330,8103436,16/06/2014,0
Rossy,195723,8102026,16/06/2014,0.003
Puntilla,196473,8103514,13/07/2014,0.003
Campesino,194248,8103536,13/07/2014,0
Centro de visitantes,193407,8104162,13/07/2014,0.651
Motobomba,192546,8104722,13/07/2014,0.018
Camanejos,197321,8100714,13/07/2014,0.146
Dren ciego,194330,8103436,13/07/2014,0.194
Rossy,195723,8102026,13/07/2014,0.211
Puntilla,196473,8103514,11/08/2014,0
Campesino,194248,8103536,11/08/2014,0
Centro de visitantes,193407,8104162,11/08/2014,0.644
Motobomba,192546,8104722,11/08/2014,1.074
Camanejos,197321,8100714,11/08/2014,0.089
Dren ciego,194330,8103436,11/08/2014,
Rossy,195723,8102026,11/08/2014,0.006
